text;biling_sent_rel;biling_type;biling_stance;biling_arg;abstract_number;;;;;;
The correlations of the attitude measures with other variables are also discussed.;-1;2;-1;-1;54;;;;;;
Purpose of review:  We discuss the role of bilingualism as a source of cognitive reserve and we propose the putative neural mechanisms through which lifelong bilingualism leads to a neural reserve that delays the onset of dementia.;1;2;2;1;55;;;;;;
Recent findings: Recent findings highlight that the use of more than one language affects the human brain in terms of anatomo-structural changes.;0;1;2;1;55;;;;;;
It is noteworthy that recent evidence from different places and cultures throughout the world points to a significant delay of dementia onset in bilingual/multilingual individuals.;1;1;2;1;55;;;;;;
This delay has been reported not only for Alzheimer’s dementia and its prodromal mild cognitive impairment phase, but also for other dementias such as vascular and fronto-temporal dementia, and was found to be independent of literacy, education and immigrant status.;-1;1;2;1;55;;;;;;
Summary: Lifelong bilingualism represents a powerful cognitive reserve delaying the onset of dementia by approximately 4 years.;1;3;2;1;55;;;;;;
As to the causal mechanism, because speaking more than one language heavily relies upon executive control and attention, brain systems handling these functions are more developed in bilinguals resulting in increases of gray and white matter densities that may help protect from dementia onset.;1;3;2;1;55;;;;;;
These neurocognitive benefits are even more prominent when second language proficiency and exposure are kept high throughout life.;0;3;2;1;55;;;;;;
Cognitive reserve (CR) prevents cognitive decline and delays neurodegeneration.;-1;1;-1;-1;56;;;;;;
Recent epidemiological evidence suggests that lifelong bilingualism may act as CR delaying the onset of dementia by ?4.5 y.;1;1;2;1;56;;;;;;
Much controversy surrounds the issue of bilingualism and its putative neuroprotective effects.;1;1;1;1;56;;;;;;
We studied brain metabolism, a direct index of synaptic function and density, and neural connectivity to shed light on the effects of bilingualism in vivo in Alzheimer’s dementia (AD).;1;2;-1;-1;56;;;;;;
Eighty-five patients with probable AD and matched for disease duration (45 German-Italian bilingual speakers and 40 monolingual speakers) were included.;1;2;-1;-1;56;;;;;;
Notably, bilingual individuals were on average 5 y older than their monolingual peers.;1;3;2;1;56;;;;;;
In agreement with our predictions and with models of CR, cerebral hypometabolism was more severe in the group of bilingual individuals with AD.;1;3;2;1;56;;;;;;
The metabolic connectivity analyses crucially supported the neuroprotective effect of bilingualism by showing an increased connectivity in the executive control and the default mode networks in the bilingual, compared with the monolingual, AD patients.;1;3;2;1;56;;;;;;
Furthermore, the degree of lifelong bilingualism (i.e., high, moderate, or low use) was significantly correlated to functional modulations in crucial neural networks, suggesting both neural reserve and compensatory mechanisms.;1;3;2;1;56;;;;;;
These findings indicate that lifelong bilingualism acts as a powerful CR proxy in dementia and exerts neuroprotective effects against neurodegeneration.;1;3;2;1;56;;;;;;
Delaying the onset of dementia is a top priority of modern societies, and the present in vivo neurobiological evidence should stimulate social programs and interventions to support bilingual or multilingual education and the maintenance of the second language among senior citizens.;1;3;2;1;56;;;;;;
Objective: Investigate the protective effect of multilingualism on cognition in seniors.;1;2;-1;-1;57;;;;;;
Methods: As part of the MemoVie study conducted on 232 non-demented volunteers aged 65 and more, neurogeriatric and neuropsychological evaluations were performed.;1;2;-1;-1;57;;;;;;
Participants were classified as presenting either cognitive impairment without dementia (CIND) or being free of any cognitive impairment (CIND-free).;-1;2;-1;-1;57;;;;;;
Language practices, socio-demographic data and lifestyle habits were recorded.;-1;2;-1;-1;57;;;;;;
In this retrospective nested case-control design, we used as proxies of multilingualism: number of languages practiced, age of acquisition and duration of practice, emphasizing the temporal pattern of acquisition, and the resulting practice of several languages sequentially or concomitantly during various periods of life.;1;2;-1;-1;57;;;;;;
This special angle on the matter offered to our work a dimension particularly original and innovative.;-1;2;-1;-1;57;;;;;;
Results: 44 subjects (19%) had CIND, the others were cognitively normal.;-1;2;-1;-1;57;;;;;;
All practiced from 2 to 7 languages.;0;2;-1;-1;57;;;;;;
When compared with bilinguals, participants who practiced more than 2 languages presented a lower risk of CIND, after adjustment for education and age (odds ratio (OR) = 0.30, 95% confidence limits (95%CL) = [0.10–0.92]).;1;3;2;1;57;;;;;;
Progressing from 2 to 3 languages, instead of staying bilingual, was associated with a 7-fold protection against CIND (OR = 0.14, 95%CL = [0.04–0.45], p = 0.0010).;1;3;2;1;57;;;;;;
A one year delay to reach multilingualism (3 languages practiced being the threshold) multiplied the risk of CIND by 1.022 (OR = 1.022, 95%CL = [1.01–1.04], p = 0.0044).;1;3;2;1;57;;;;;;
Also noteworthy, just as for multilingualism, an impact of cognitively stimulating activities on the occurrence of CIND was found as well (OR = 0.979, 95%CL = [0.961–0.998], p = 0.033).;1;3;1;1;57;;;;;;
Conclusion: The study did not show independence of multilingualism and CIND.;1;3;1;1;57;;;;;;
Rather it seems to show a strong association toward a protection against CIND.;-1;3;2;1;57;;;;;;
Practicing multilingualism from early life on, and/or learning it at a fast pace is even more efficient.;1;3;2;1;57;;;;;;
This protection might be related to the enhancement of cognitive reserve and brain plasticity, thereby preserving brain functions from alterations during aging.;-1;3;2;1;57;;;;;;
In two experiments, we examined inhibitory control processes in three groups of bilinguals and trilinguals that differed in nonnative language proficiency and language learning background.;1;2;-1;-1;58;;;;;;
German 5- to 8-year-old second-language learners of English, German–English bilinguals, German–English–Language X trilinguals, and 6- to 8-year-old German monolinguals performed the Simon task and the Attentional Networks Task (ANT).;1;2;-1;-1;58;;;;;;
Language proficiencies and socioeconomic status were controlled.;0;2;-1;-1;58;;;;;;
We found that the Simon effect advantage, reported in earlier research for bilingual children and adults over monolinguals, differed across groups, with bilinguals and trilinguals showing enhanced conflict resolution over monolinguals and marginally so over second-language learners.;1;3;2;1;58;;;;;;
In the ANT, bilinguals and trilinguals displayed enhanced conflict resolution over second-language learners.;1;3;2;1;58;;;;;;
This extends earlier research to child second-language learners and trilinguals, who were in the process of becoming proficient in an additional language, while corroborating earlier findings demonstrating enhanced executive control in bilinguals assumed to be caused by continuous inhibitory control processes necessary in competition resolution between two (or possibly more) languages.;1;3;2;1;58;;;;;;
The results are interpreted against the backdrop of the developing language systems of the children, both for early second-language learners and for early bilinguals and trilinguals.;1;2;-1;-1;58;;;;;;
This study investigated the possibility that lifelong bilingualism may lead to enhanced efficiency in the ability to shift between mental sets.;1;1;2;1;59;;;;;;
We compared the performance of monolingual and fluent bilingual college students in a task-switching paradigm.;1;2;-1;-1;59;;;;;;
Bilinguals incurred reduced switching costs in the task-switching paradigm when compared with monolinguals, suggesting that lifelong experience in switching between languages may contribute to increased efficiency in the ability to shift flexibly between mental sets.;1;3;2;1;59;;;;;;
On the other hand, bilinguals did not differ from monolinguals in the differential cost of performing mixed-task as opposed to single-task blocks.;1;3;0;1;59;;;;;;
Together, these results indicate that bilingual advantages in executive function most likely extend beyond inhibition of competing responses, and encompass flexible mental shifting as well.;1;3;2;1;59;;;;;;
Bilingualism may provide an advantage to older adults on inhibitory control tasks.;1;1;2;1;60;;;;;;
This study examined the effects of bilingualism (balanced and non-balanced) on inhibitory control using simple and complex Simon tasks with samples of younger and older Spanish–English bilinguals (N = 125) and English monolinguals (N = 108).;1;2;-1;-1;60;;;;;;
Results revealed a bilingual advantage on the simple task but not on the complex Simon task.;1;3;1;1;60;;;;;;
Results suggest that bilingualism increases skills that are associated with selective attention when working memory demands are low.;1;3;2;1;60;;;;;;
Cognitive reserve is invoked to explain the protective effects of education and cognitively-stimulating activities against all-cause dementia and Alzheimer's disease (AD).;-1;1;-1;-1;61;;;;;;
For non-native English speakers (n-NES), speaking English may be a cognitive activity associated with lower dementia risk.;0;1;2;1;61;;;;;;
We hypothesized that n-NES have lower risk of incident dementia/AD and that educational level might modify this relationship.;-1;1;2;1;61;;;;;;
Participants took part in the Einstein Aging Study (Bronx, NY), a longitudinal study of aging and dementia.;-1;2;-1;-1;61;;;;;;
All (n = 1779) spoke fluent English and self-reported birthplace and whether English was their first language.;0;2;-1;-1;61;;;;;;
n-NES additionally reported mother tongue, age of English acquisition, and current percentile-use of a non-English language.;0;2;-1;-1;61;;;;;;
Nested Cox proportional hazards models progressively adjusted for gender, race, education, and immigrant and marital status estimated hazard ratios (HR) for incident dementia/AD as a function of n-NES status.;-1;2;-1;-1;61;;;;;;
390 (22%) participants were n-NES.;-1;2;-1;-1;61;;;;;;
"126 incident dementia cases occurred during 4174 person-years of follow-up (median 1.44; range 0–16); 101 individuals met criteria for probable/possible AD.";-1;2;-1;-1;61;;;;;;
"There was no statistically-significant association between n-NES status and incident dementia in the fully-adjusted model (HR 1.26; 95% CI 0.76–2.09; p = 0.36).";-1;3;0;1;61;;;;;;
Results were similar for AD.;-1;3;0;1;61;;;;;;
"Stratification of education into three groups revealed increased risk of dementia for n-NES with ? 16 years of education (HR 3.97; 95% CI 1.62–9.75; p = 0.003).";-1;3;-1;-1;61;;;;;;
We conclude that n-NES status does not appear to have an independent protective effect against incident dementia/AD, and that n-NES status may contribute to risk of dementia in an education-dependent manner.;-1;3;0;1;61;;;;;;
Much of the research on delaying the onset of symptoms of Alzheimer’s disease (AD) has focused on pharmacotherapy, but environmental factors have also been acknowledged to play a significant role.;-1;1;-1;-1;62;;;;;;
Bilingualism may be one factor contributing to ‘cognitive reserve’ (CR) and therefore to a delay in symptom onset.;1;1;2;1;62;;;;;;
If bilingualism is protective, then the brains of bilinguals should show greater atrophy in relevant areas, since their enhanced CR enables them to function at a higher level than would be predicted from their level of disease.;1;1;2;1;62;;;;;;
We analyzed a number of linear measurements of brain atrophy from the computed tomography (CT) scans of monolingual and bilingual patients diagnosed with probable AD who were matched on level of cognitive performance and years of education.;1;2;-1;-1;62;;;;;;
Bilingual patients with AD exhibited substantially greater amounts of brain atrophy than monolingual patients in areas traditionally used to distinguish AD patients from healthy controls, specifically, the radial width of the temporal horn and the temporal horn ratio.;1;3;2;1;62;;;;;;
Other measures of brain atrophy were comparable for the two groups.;-1;3;0;1;62;;;;;;
Bilingualism appears to contribute to increased CR, thereby delaying the onset of AD and requiring the presence of greater amounts of neuropathology before the disease is manifest.;1;3;2;1;62;;;;;;
By administering Simon, Simon switching, and operation-span working memory tasks to Cantonese-English bilingual children who varied in their first-language (L1, Cantonese) and second-language (L2, English) proficiencies, as quantified by standardized vocabulary test performance, the current study examined the effects of L1 and L2 proficiency on attentional control performance.;1;2;-1;-1;63;;;;;;
Apart from mean performance, we conducted ex-Gaussian analyses to capture the modal and positive-tail components of participants' reaction time distributions in the Simon and Simon switching tasks.;-1;2;-1;-1;63;;;;;;
Bilinguals' L2 proficiency was associated with higher scores in the operation span task, and a shift of reaction time distributions in incongruent trials, relative to congruent trials (Simon effect in ?), and the tail size of reaction time distributions (?) regardless of trial types in the Simon task.;1;3;2;1;63;;;;;;
Bilinguals' L1 proficiency, which was strongly associated with participants' age, showed similar results, except that it was not associated with the Simon effect in ?.;1;3;2;1;63;;;;;;
In contrast, neither bilinguals' L1 nor L2 proficiency modulated the global switch cost or local switch cost in the Simon switching task.;1;3;0;1;63;;;;;;
After taking into account potential cognitive maturation by partialling out the participants' age, only (a) scores in the working memory task and (b) RT in incongruent trials and (c) Simon effect in ? in the Simon task could still be predicted by bilinguals' L2 proficiency.;1;3;2;1;63;;;;;;
Overall, the current findings suggest that bilingual children's L2 proficiency was associated with their conflict resolution and working memory capacity, but not goal maintenance or task-set switching, when they performed the cognitive tasks that demanded attentional control.;1;3;1;1;63;;;;;;
This was not entirely consistent with the findings of college-age bilinguals reported in previous studies.;1;3;-1;-1;63;;;;;;
The relation between bilingualism and cognition is informative about the connection between language and mind.;1;1;-1;-1;64;;;;;;
From the perspective of language, the question is how bilingualism might help or hinder cognition – narrowly interpreted here as executive function.;1;1;-1;-1;64;;;;;;
From the perspective of higher cognition, the question is what kinds of experiences improve executive function.;0;1;-1;-1;64;;;;;;
Reported cognitive benefits from bilingualism range from none to substantial as a function of age, type of bilingualism (e.g., life-long balanced vs later-onset or infrequent use of the other language), syntactic relation between the two languages, socio-economic and immigrant status, task, and laboratory.;1;1;1;1;64;;;;;;
To understand the variability and inconsistencies in results with bilingualism, I analyze concepts of executive function and cognitive reserve and examine the range of factors (such as active video game playing, education, musical training, and aerobic exercise) that are known to correlate with or to improve executive function.;1;2;-1;-1;64;;;;;;
"I suggest that a) “executive function” is a complex set of cognitive processes, the components of which are sometimes minimally correlated with each other, depending on the task; b) bilingualism is inconsistently correlated with superior executive function and delayed onset of dementia; c) all speakers (mono- or bilingual) have non-linguistic ways of improving executive function; and d) benefits from bilingualism – and all cognitively challenging activities – are inconsistent because individuals vary in the number and kinds of experiences they have that promote superior executive function.";1;3;0;1;64;;;;;;
The question whether being bilingual yields cognitive benefits is highly controversial with prior studies providing inconsistent results.;1;1;0;1;65;;;;;;
Failures to replicate the bilingual advantage have been attributed to methodological factors such as comparing dichotomous groups and measuring cognitive abilities separately with single tasks.;1;1;0;1;65;;;;;;
Therefore, the authors evaluated the 4 most prominent hypotheses of bilingual advantages for inhibitory control, conflict monitoring, shifting, and general cognitive performance by assessing bilingualism on 3 continuous dimensions (age of acquisition, proficiency, and usage) in a sample of 118 young adults and relating it to 9 cognitive abilities each measured by multiple tasks.;1;2;-1;-1;65;;;;;;
Linear mixed-effects models accounting for multiple sources of variance simultaneously and controlling for parents’ education as an index of socioeconomic status revealed no evidence for any of the 4 hypotheses.;-1;3;0;1;65;;;;;;
Hence, the authors’ results suggest that bilingual benefits are not as broad and as robust as has been previously claimed.;1;3;0;1;65;;;;;;
Instead, earlier effects were possibly due to task-specific effects in selective and often small samples.;-1;3;0;1;65;;;;;;
The current study investigated the effects of bilingualism on the clinical manifestation of Alzheimer’s disease (AD) in a European sample of patients.;1;2;-1;-1;66;;;;;;
We assessed all incoming AD patients in two university hospitals within a specified timeframe.;-1;2;-1;-1;66;;;;;;
Sixty-nine monolinguals and 65 bilinguals diagnosed with probable AD were compared for time of clinical AD manifestation and diagnosis.;1;2;-1;-1;66;;;;;;
The influence of other potentially interacting variables was also examined.;-1;2;-1;-1;66;;;;;;
Results indicated a significant delay for bilinguals of 4.6 years in manifestation and 4.8 years in diagnosis.;1;3;2;1;66;;;;;;
Our study therefore strengthens the claim that bilingualism contributes to cognitive reserve and postpones the symptoms of dementia.;1;3;2;1;66;;;;;;
In a recent review, Mukadam, Sommerlad, and Livingston (2017) argue that bilingualism offers no protection against cognitive decline.;1;1;0;1;67;;;;;;
The authors examined the results of 13 studies (five prospective, eight retrospective) in which monolinguals and bilinguals were compared for cognitive decline and onset of dementia symptoms.;1;2;-1;-1;67;;;;;;
Analysis of four of the five prospective studies resulted in the conclusion that there was no difference between monolinguals and bilinguals, whereas seven of the eight retrospective studies actually showed bilingualism to result in a four-to-five year delay of symptom onset.;1;1;1;1;67;;;;;;
The authors decided to ignore the results from the retrospective studies in favor of those from the prospective studies, reasoning that the former may be confounded by participants’ cultural background and education levels.;-1;1;0;1;67;;;;;;
In this commentary, we argue that most of these studies actually controlled for these two variables and still found a positive effect of bilingualism.;1;3;2;1;67;;;;;;
Furthermore, we argue that the meta-analysis of the prospective studies is not complete, lacking the results of two crucial reports.;-1;3;1;1;67;;;;;;
We conclude that the literature offers substantial evidence for a bilingual effect on the development of cognitive decline and dementia.;1;3;2;1;67;;;;;;
We investigated the impact of early childhood and adulthood bilingualism on the attention system in a group of linguistically and culturally homogeneous children (5- and 6-year olds) and young adults.;1;2;-1;-1;68;;;;;;
We administered the child Attention Network Test (ANT) to 63 English monolingual and Korean–English bilingual children and administered the adult ANT to 39 language- and culture-matched college students.;1;2;-1;-1;68;;;;;;
Advantageous bilingual effects on attention were observed for both children and adults in global processing levels of inverse efficiency, response time, and accuracy at a magnitude more pronounced for children than for adults.;1;3;2;1;68;;;;;;
Differential bilingualism effects were evident at the local network level of executive control and orienting in favor of the adult bilinguals only.;1;3;2;1;68;;;;;;
Notably, however, bilingual children achieved an adult level of accuracy in the incongruent flanker condition, implying enhanced attentional skills to cope with interferences.;1;3;2;1;68;;;;;;
Our findings suggest that although both child and adult bilinguals share cognitive advantages in attentional functioning, age-related cognitive and linguistic maturation differentially shapes the outcomes of attentional processing at a local network level.;1;3;1;1;68;;;;;;
Objective: The aim of this study was to determine whether bilingualism is associated with dementia in cross-sectional or prospective analyses of older adults.;1;2;-1;-1;69;;;;;;
Methods: In 1991, 1616 community-living older adults were assessed and were followed 5 years later.;-1;2;-1;-1;69;;;;;;
Measures included age, sex, education, subjective memory loss (SML), and the modified Mini-mental State Examination (3MS).;-1;2;-1;-1;69;;;;;;
Dementia was determined by clinical examination in those who scored below the cut point on the 3MS.;-1;2;-1;-1;69;;;;;;
Language status was categorized based upon self-report into 3 groups: English as a first language (monolingual English, bilingual English) and English as a Second Language (ESL).;1;2;-1;-1;69;;;;;;
Results: The ESL category had lower education, lower 3MS scores, more SML, and were more likely to be diagnosed with cognitive impairment, no dementia at both time 1 and time 2 compared with those speaking English as a first language.;0;3;-1;-1;69;;;;;;
There was no association between being bilingual (ESL and bilingual English vs. monolingual) and having dementia at time 1 in bivariate or multivariate analyses.;1;3;0;1;69;;;;;;
In those who were cognitively intact at time 1, there was no association between being bilingual and having dementia at time 2 in bivariate or multivariate analyses.;1;3;0;1;69;;;;;;
Conclusions: We did not find any association between speaking> 1 language and dementia.;0;3;0;1;69;;;;;;
Previous studies have identified bilingualism as a protective factor against dementia.;1;1;2;1;70;;;;;;
Here we aimed to test whether being bilingual at different life stages impacts cognition and brain structure in older adulthood.;1;2;-1;-1;70;;;;;;
We included 746 participants from the DZNE-Longitudinal Cognitive Impairment and Dementia Study (DELCODE).;-1;2;-1;-1;70;;;;;;
Assessment of bilingualism at 3 life stages (early: 13–30, middle: 30–65 and late: over 65 years old) was determined with the Lifetime of Experiences Questionnaire.;1;2;-1;-1;70;;;;;;
Individuals reporting bilingualism (i.e., daily use of L2) in the early life stage outperformed monolinguals on learning & memory, working-memory, executive functions and language.;1;3;2;1;70;;;;;;
Bilingualism in middle life stage showed a significant advantage on learning & memory, while no effect of bilingualism in old life stage was identified.;1;3;1;1;70;;;;;;
Brain gray matter volume was not associated with L2 use and did not differ between groups.;0;3;0;1;70;;;;;;
However, stronger correlations between brain gray matter volume in selected brain regions and cognitive performance were found in bilingual participants in the early and middle life stages.;1;3;2;1;70;;;;;;
Our results indicate that bilingualism in early life might provide a long-lasting protective effect on cognition and shape the brain to sustain cognitive performance in older adulthood.;1;3;2;1;70;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
